ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG
40	Malto	all	gi:ʈeni:	gi:ʈeni:	g iː ʈ e n iː		all-L
41	Kurukh	all	majin	majin	m a j i n		all-M
42	Kolami	all	ma:k	ma:k	m aː k		all-N
43	Gondi	all	bottig	bottig	b o tː i g		all-O
44	Malayalam	ashes	tʃa:mbal	tʃa:mbal	tʃ aː m b a l		ashes-A
45	Malayalam	ashes	tʃa:ɾam	tʃa:ɾam	tʃ aː ɾ a m		ashes-A
46	Tamil	ashes	sa:mbal	sa:mbal	s aː m b a l		ashes-A
47	Badga	ashes	kolabu:di	kolabu:di	k o l a b uː d i		ashes-B
48	Betta_Kurumba	ashes	pi:di	pi:di	p iː d i		ashes-B
49	Kannada	ashes	bu:di	bu:di	b uː d i		ashes-B
50	Kodava	ashes	bu:di	bu:di	b uː d i		ashes-B
51	Kota	ashes	po:du atukə	po:du atukə	p oː d u + a t u k ə		ashes-B
52	Koya	ashes	bu:ɖida	bu:ɖida	b uː ɖ i d a		ashes-B
53	Telugu	ashes	bu:ɖida	bu:ɖida	b uː ɖ i d a		ashes-B
54	Toda	ashes	pu:di	pu:di	p uː d i		ashes-B
55	Yeruva	ashes	bu:di	bu:di	b uː d i		ashes-B
56	Tulu	ashes	tʃu:nja	tʃu:nja	tʃ uː n j a		ashes-C
57	Tulu	ashes	tʃo:nja	tʃo:nja	tʃ oː n j a		ashes-C
58	Gondi	ashes	ni:ɾ	ni:ɾ	n iː ɾ		ashes-D
59	Ollari_Gadba	ashes	niɖ	niɖ	n i ɖ		ashes-D
60	Parji	ashes	nīd	nīd	n iː d		ashes-D
61	Brahui	ashes	his	his	h i s		ashes-F
62	Kolami	ashes	buggi	buggi	b u gː i		ashes-G
63	Kurukh	ashes	tʃind	tʃind	tʃ i n d		ashes-H
64	Badga	bark	paʈʈe	paʈʈe	p a ʈː e		bark-A
65	Kodava	bark	aʈʈe	aʈʈe	a ʈː e		bark-A
66	Malayalam	bark	paṭṭa	paṭṭa	p a ʈː a		bark-A
67	Tamil	bark	paʈʈe	paʈʈe	p a ʈː e		bark-A
68	Telugu	bark	paṭṭa	paṭṭa	p a ʈː a		bark-A
69	Kannada	bark	nāru	nāru	n aː r u		bark-B
70	Kurukh	bark	o:ɖak	o:ɖak	oː ɖ a k		bark-C
71	Koya	bark	beɾaɖu	beɾaɖu	b e ɾ a ɖ u		bark-D
72	Telugu	bark	beɾaɖu	beɾaɖu	b e ɾ a ɖ u		bark-D
73	Kodava	bark	tʃekke	tʃekke	tʃ e kː e		bark-E
74	Koya	bark	danʈi	danʈi	d a n ʈ i		bark-F
75	Kannada	bark	togaʈi	togaʈi	t o g a ʈ i		bark-G
76	Toda	bark	puʈkoɾi	puʈkoɾi	p u ʈ k o ɾ i		bark-H
77	Tulu	bark	ketta	ketta	k e tː a		bark-I
78	Gondi	bark	to:l	to:l	t oː l		bark-J
79	Yeruva	bark	to:lu	to:lu	t oː l u		bark-J
80	Betta_Kurumba	bark	meɾto:lə	meɾto:lə	m e ɾ t oː l ə		bark-K
81	Malayalam	bark	maɾattoli	maɾattoli	m a ɾ a tː o l i		bark-K
82	Brahui	bark	bund	bund	b u n d		bark-L
83	Kolami	bark	ɖanɖi maɖɖa	ɖanɖi maɖɖa	ɖ a n ɖ i + m a ɖː a		bark-M
84	Kota	bark	kollutʃo	kollutʃo	k o lː u tʃ o		bark-N
85	Malayalam	belly	ʋajaɾə	ʋajaɾə	ʋ a j a ɾ ə		belly-A
86	Tamil	belly	vayiṟu	vayiṟu	v a y i r̪ u		belly-A
87	Toda	belly	piɾ	piɾ	p i ɾ		belly-A
88	Tulu	belly	bandʒi	bandʒi	b a n dʒ i		belly-A
89	Yeruva	belly	baiɾu	baiɾu	b a i ɾ u		belly-A
90	Yeruva	belly	ba:ɾə	ba:ɾə	b aː ɾ ə		belly-A
91	Badga	belly	oʈʈe	oʈʈe	o ʈː e		belly-B
92	Betta_Kurumba	belly	poʈʈi	poʈʈi	p o ʈː i		belly-B
93	Kannada	belly	hoṭṭe	hoṭṭe	h o ʈː e		belly-B
94	Kannada	belly	hoʈʈa	hoʈʈa	h o ʈː a		belly-B
95	Kodava	belly	poʈʈe	poʈʈe	p o ʈː e		belly-B
96	Malto	belly	puɖa:	puɖa:	p u ɖ aː		belly-B
97	Parji	belly	poṭṭa	poṭṭa	p o ʈː a		belly-B
98	Telugu	belly	poʈʈa	poʈʈa	p o ʈː a		belly-B
99	Telugu	belly	kaɖupu	kaɖupu	k a ɖ u p u		belly-C
100	Koya	belly	ɖokka	ɖokka	ɖ o kː a		belly-D
101	Tamil	belly	tonti	tonti	t o n t i		belly-E
102	Tamil	belly	toppai	toppai	t o pː a i		belly-F
103	Kurukh	belly	ku:l	ku:l	k uː l		belly-G
104	Brahui	belly	peɖʰ	peɖʰ	p e ɖʰ		belly-H
105	Gondi	belly	pi:ɾ	pi:ɾ	p iː ɾ		belly-H
106	Ollari_Gadba	belly	pudug	pudug	p u d u g		belly-H
107	Kuwi	belly	banɖi	banɖi	b a n ɖ i		belly-I
108	Kolami	belly	ʈeʈʈe	ʈeʈʈe	ʈ e ʈː e		belly-J
109	Kota	belly	naɖpe:ʈgu	naɖpe:ʈgu	n a ɖ p eː ʈ g u		belly-K
110	Gondi	big	pedda	pedda	p e d d a		big-A
111	Koya	big	beɾɾa	beɾɾa	b e ɾ ɾ a		big-A
112	Kuwi	big	be:ɾ	be:ɾ	b eː ɾ		big-A
113	Malto	big	be:ɖo	be:ɖo	b eː ɖ o		big-A
114	Parji	big	berto	berto	b e r t o		big-A
115	Tamil	big	peɾija	peɾija	p e ɾ i j a		big-A
116	Tamil	big	perəsə	perəsə	p e r ə s ə		big-A
117	Telugu	big	pedda	pedda	p e d d a		big-A
118	Kodava	big	baljadə	baljadə	b a l j a d ə		big-B
119	Malayalam	big	ʋaludə	ʋaludə	ʋ a l u d ə		big-B
120	Yeruva	big	baleji	baleji	b a l e j i		big-B
121	Badga	big	doɖɖadə	doɖɖadə	d o ɖː a d ə		big-C
122	Kannada	big	doɖɖadu	doɖɖadu	d o ɖː a d u		big-C
123	Tulu	big	malla	malla	m a lː a		big-D
124	Toda	big	ittu:ɖə	ittu:ɖə	i tː uː ɖ ə		big-E
125	Betta_Kurumba	big	dappu	dappu	d a pː u		big-F
126	Brahui	big	ballun	ballun	b a lː u n		big-G
127	Kurukh	big	koha	koha	k o h a		big-H
128	Ollari_Gadba	big	muɾe	muɾe	m u ɾ e		big-I
129	Kota	big	toɖut	toɖut	t o ɖ u t		big-J
130	Tamil	bird	paɾaʋai	paɾaʋai	p a ɾ a ʋ a i		bird-A
131	Toda	bird	paɾaʋai	paɾaʋai	p a ɾ a ʋ a i		bird-A
132	Betta_Kurumba	bird	pikki	pikki	p i kː i	LOAN	bird-B
133	Kannada	bird	hakki	hakki	h a kː i	LOAN	bird-B
134	Kannada	bird	pakʂi	pakʂi	p a k ʂ i	LOAN	bird-B
135	Kodava	bird	pakʂi	pakʂi	p a k ʂ i	LOAN	bird-B
136	Kota	bird	pakkigaɭ	pakkigaɭ	p a kː i g a ɭ	LOAN	bird-B
137	Malayalam	bird	pakʂi	pakʂi	p a k ʂ i	LOAN	bird-B
138	Telugu	bird	pakʂi	pakʂi	p a k ʂ i	LOAN	bird-B
139	Tulu	bird	pakki	pakki	p a kː i	LOAN	bird-B
140	Yeruva	bird	paktʃi	paktʃi	p a k tʃ i	LOAN	bird-B
141	Gondi	bird	piʈʈə	piʈʈə	p i ʈː ə		bird-C
142	Kolami	bird	piʈʈa	piʈʈa	p i ʈː a		bird-C
143	Koya	bird	piʈʈe:ku	piʈʈe:ku	p i ʈː eː k u		bird-C
144	Telugu	bird	pitta	pitta	p i tː a		bird-C
145	Malayalam	bird	kili	kili	k i l i		bird-D
146	Kuwi	bird	minu	minu	m i n u	EXCLUDE	bird-E
147	Malto	bird	pudʒudu	pudʒudu	p u dʒ u d u		bird-F
148	Brahui	bird	tʃok	tʃok	tʃ o k		bird-G
149	Kurukh	bird	oɖa	oɖa	o ɖ a		bird-H
150	Ollari_Gadba	bird	titə	titə	t i t ə		bird-I
151	Betta_Kurumba	bite	kaɖi ~ kajɾi	kaɖi	k a ɖ i		bite-A
152	Betta_Kurumba	bite	kaɖi ~ kajɾi	kajɾi	k a j ɾ i		
153	Brahui	bite	kaat kanning	kaat kanning	k a a t + k a nː i n g		bite-A
154	Kannada	bite	kaḍi-	kaḍi-	k a ɖ i		bite-A
155	Kodava	bite	kaɖi	kaɖi	k a ɖ i		bite-A
156	Kota	bite	kaɖə	kaɖə	k a ɖ ə		bite-A
157	Malayalam	bite	kadikkuga	kadikkuga	k a d i kː u g a		bite-A
158	Tamil	bite	kaɖi	kaɖi	k a ɖ i		bite-A
159	Yeruva	bite	kaɖi	kaɖi	k a ɖ i		bite-A
160	Toda	bite	paɾtʃiʈtʃi	paɾtʃiʈtʃi	p a ɾ tʃ i ʈ tʃ i		bite-B
161	Kolami	bite	atekaʂin	atekaʂin	a t e k a ʂ i n		bite-C
162	Koya	bite	koɾaka	koɾaka	k o ɾ a k a		bite-D
163	Parji	bite	kork-	kork-	k o r k		bite-D
164	Telugu	bite	koɾuku	koɾuku	k o ɾ u k u		bite-D
165	Badga	bite	katʃtʃə	katʃtʃə	k a tʃː ə		bite-F
166	Gondi	bite	kask	kask	k a s k		bite-F
167	Kannada	bite	katʃtʃu	katʃtʃu	k a tʃː u		bite-F
168	Koya	bite	katʃtʃa:	katʃtʃa:	k a tʃː aː		bite-F
169	Kurukh	bite	kʰatʃtʃna	kʰatʃtʃna	kʰ a tʃː n a		bite-F
170	Kuwi	bite	katʃine	katʃine	k a tʃ i n e		bite-F
171	Tulu	bite	tina:ɾa	tina:ɾa	t i n aː ɾ a		bite-G
172	Malto	bite	ko:hi	ko:hi	k oː h i		bite-H
173	Badga	black	kappə	kappə	k a pː ə		black-A
174	Betta_Kurumba	black	kaɾtənu ipədə	kaɾtənu ipədə	k a ɾ t ə n u + i p ə d ə		black-A
175	Gondi	black	kaɾə	kaɾə	k a ɾ ə		black-A
176	Kannada	black	kappu	kappu	k a pː u		black-A
177	Kodava	black	kaɾtadə	kaɾtadə	k a ɾ t a d ə		black-A
178	Kota	black	kaɾuppə	kaɾuppə	k a ɾ u pː ə		black-A
179	Koya	black	ka:ʈe	ka:ʈe	k aː ʈ e		black-A
180	Malayalam	black	kaɾuppə	kaɾuppə	k a ɾ u pː ə		black-A
181	Tamil	black	kaɾəppə	kaɾəppə	k a ɾ ə pː ə		black-A
182	Toda	black	kappə	kappə	k a pː ə		black-A
183	Tulu	black	kappu	kappu	k a pː u		black-A
184	Yeruva	black	kaɾtaji	kaɾtaji	k a ɾ t a j i		black-A
185	Koya	black	nalla	nalla	n a lː a		black-B
186	Telugu	black	nalupu	nalupu	n a l u p u		black-B
187	Telugu	black	nalla	nalla	n a lː a		black-B
188	Kuwi	black	kadia	kadia	k a d i a		black-C
189	Brahui	black	ma:on	ma:on	m aː o n		black-D
190	Kurukh	black	mokʰaɾo	mokʰaɾo	m o kʰ a ɾ o		black-D
191	Kannada	black	karu-	karu-	k a r u		black-E
192	Malto	black	maɖhaɾo	maɖhaɾo	m a ɖ h a ɾ o		black-F
193	Kolami	black	ɖa:ɾiate	ɖa:ɾiate	ɖ aː ɾ i a t e		black-G
194	Badga	blood	rattə	rattə	r a tː ə	LOAN	blood-A
195	Kannada	blood	ɾakta	ɾakta	ɾ a k t a	LOAN	blood-A
196	Malayalam	blood	ɾektam	ɾektam	ɾ e k t a m	LOAN	blood-A
197	Tamil	blood	ɾattam	ɾattam	ɾ a tː a m	LOAN	blood-A
198	Telugu	blood	ɾaktamu	ɾaktamu	ɾ a k t a m u	LOAN	blood-A
199	Badga	blood	nettuɾu	nettuɾu	n e tː u ɾ u		blood-B
200	Betta_Kurumba	blood	nəttəɾə	nəttəɾə	n ə tː ə ɾ ə		blood-B
201	Brahui	blood	ditaɾ	ditaɾ	d i t a ɾ		blood-B
202	Gondi	blood	nettuɾ	nettuɾ	n e tː u ɾ		blood-B
203	Kolami	blood	nettuɾ	nettuɾ	n e tː u ɾ		blood-B
204	Kota	blood	ne:tuɾu	ne:tuɾu	n eː t u ɾ u		blood-B
205	Koya	blood	nettuɾ	nettuɾ	n e tː u ɾ		blood-B
206	Kuwi	blood	nettir	nettir	n e tː i r		blood-B
207	Ollari_Gadba	blood	nettiɾ	nettiɾ	n e tː i ɾ		blood-B
208	Parji	blood	netir	netir	n e t i r		blood-B
209	Telugu	blood	nettuɾu	nettuɾu	n e tː u ɾ u		blood-B
210	Tulu	blood	nettarə	nettarə	n e tː a r ə		blood-B
211	Kurukh	blood	kʰe:ns	kʰe:ns	kʰ eː n s		blood-C
212	Kodava	blood	tʃo:ɾə	tʃo:ɾə	tʃ oː ɾ ə		blood-D
213	Malayalam	blood	tʃo:ɾa	tʃo:ɾa	tʃ oː ɾ a		blood-D
214	Yeruva	blood	tʃo:ɾe	tʃo:ɾe	tʃ oː ɾ e		blood-D
215	Toda	blood	po:kʰə	po:kʰə	p oː kʰ ə		blood-E
216	Malto	blood	ɾasadu	ɾasadu	ɾ a s a d u		blood-F
217	Badga	bone	ilə	ilə	i l ə		bone-A
218	Betta_Kurumba	bone	jaləʋə	jaləʋə	j a l ə ʋ ə		bone-A
219	Kannada	bone	jelubu	jelubu	j e l u b u		bone-A
220	Kota	bone	jeluʋə	jeluʋə	j e l u ʋ ə		bone-A
221	Malayalam	bone	ellə	ellə	e lː ə		bone-A
222	Tamil	bone	elumbə	elumbə	e l u m b ə		bone-A
223	Telugu	bone	jemuka	jemuka	j e m u k a		bone-A
224	Toda	bone	elf	elf	e l f		bone-A
225	Tulu	bone	ellə	ellə	e lː ə		bone-A
226	Gondi	bone	bokka	bokka	b o kː a		bone-B
227	Kolami	bone	bokka	bokka	b o kː a		bone-B
228	Koya	bone	bu:la:	bu:la:	b uː l aː		bone-B
229	Koya	bone	bu:lk	bu:lk	b uː l k		bone-B
230	Parji	bone	būla	būla	b uː l a		bone-B
231	Telugu	bone	bokka	bokka	b o kː a		bone-B
232	Malto	bone	o:tʃuldi:	o:tʃuldi:	oː tʃ u l d iː		bone-C
233	Kannada	bone	mu:ɭe	mu:ɭe	m uː ɭ e		bone-D
234	Kodava	bone	mu:ɭe	mu:ɭe	m uː ɭ e		bone-D
235	Yeruva	bone	mu:ɭe	mu:ɭe	m uː ɭ e		bone-D
236	Malayalam	bone	asti	asti	a s t i		bone-E
237	Kurukh	bone	kʰotʃol	kʰotʃol	kʰ o tʃ o l		bone-F
238	Brahui	bone	aɖɖə	aɖɖə	a ɖː ə		bone-G
239	Badga	breast	ma:ɾə	ma:ɾə	m aː ɾ ə		breast-A
240	Malayalam	breast	māṟu	māṟu	m aː r̪ u		breast-A
241	Tamil	breast	ma:ɾbə	ma:ɾbə	m aː ɾ b ə		breast-A
242	Tamil	breast	ma:ɾə	ma:ɾə	m aː ɾ ə		breast-A
243	Kannada	breast	ede	ede	e d e		breast-B
244	Koya	breast	eddam	eddam	e d d a m		breast-B
245	Parji	breast	edram	edram	e d r a m		breast-B
246	Telugu	breast	gunde	gunde	g u n d e		breast-C
247	Toda	breast	nidʒikuɖi	nidʒikuɖi	n i dʒ i k u ɖ i		breast-E
248	Kodava	breast	mele	mele	m e l e		breast-F
249	Kota	breast	me:l	me:l	m eː l		breast-F
250	Malayalam	breast	mula	mula	m u l a		breast-F
251	Yeruva	breast	mele	mele	m e l e		breast-F
252	Kannada	breast	stʰana	stʰana	s tʰ a n a		breast-G
253	Malayalam	breast	stanam	stanam	s t a n a m		breast-G
254	Telugu	breast	stʰanamu	stʰanamu	s tʰ a n a m u		breast-G
255	Tulu	breast	tigala	tigala	t i g a l a		breast-H
256	Betta_Kurumba	breast	kujndigi	kujndigi	k u j n d i g i		breast-I
257	Brahui	breast	xad	xad	x a d		breast-J
258	Malto	breast	daibuku	daibuku	d a i b u k u		breast-K
259	Kurukh	breast	jeʋakʰ	jeʋakʰ	j e ʋ a kʰ		breast-L
260	Kolami	breast	sa:tti	sa:tti	s aː tː i		breast-M
261	Gondi	breast	dudo	dudo	d u d o		breast-N
262	Ollari_Gadba	breast	palgil	palgil	p a l g i l		breast-O
263	Kuwi	breast	sipadaki	sipadaki	s i p a d a k i		breast-P
264	Betta_Kurumba	burn	bja:ɭ ~ ben	bja:ɭ	b j aː ɭ		burn-A
265	Betta_Kurumba	burn	bja:ɭ ~ ben	ben	b e n		
266	Telugu	burn	ka:lu	ka:lu	k aː l u		burn-B
267	Kannada	burn	suɖu	suɖu	s u ɖ u		burn-C
268	Kodava	burn	tʃu:ɖə	tʃu:ɖə	tʃ uː ɖ ə		burn-C
269	Yeruva	burn	tʃu:ɖə	tʃu:ɖə	tʃ uː ɖ ə		burn-C
270	Tamil	burn	eɾi	eɾi	e ɾ i		burn-D
271	Badga	burn	kitʃi:kdə	kitʃi:kdə	k i tʃ iː k d ə		burn-E
272	Betta_Kurumba	burn	kattu ~ kettu	kattu	k a tː u		burn-E
273	Betta_Kurumba	burn	kattu ~ kettu	kettu	k e tː u		
274	Kota	burn	ka:to	ka:to	k aː t o		burn-E
275	Malayalam	burn	katikkuga	katikkuga	k a t i kː u g a		burn-E
276	Toda	burn	ti:kku ka:ttiti	ti:kku ka:ttiti	t iː kː u + k aː tː i t i		burn-E
277	Koya	burn	maɳɖu	maɳɖu	m a ɳ ɖ u		burn-F
278	Telugu	burn	maɳɖu	maɳɖu	m a ɳ ɖ u		burn-F
279	Tulu	burn	pottaʋaɾa	pottaʋaɾa	p o tː a ʋ a ɾ a		burn-G
280	Brahui	burn	xa:xaɾ tinning	xa:xaɾ tinning	x aː x a ɾ + t i nː i n g		burn-H
281	Gondi	burn	niɾus	niɾus	n i ɾ u s		burn-I
282	Malto	burn	me:da	me:da	m eː d a		burn-J
283	Kurukh	burn	olna	olna	o l n a		burn-K
284	Kolami	burn	gonɖka	gonɖka	g o n ɖ k a		burn-L
285	Malayalam	claw	nakʰam	nakʰam	n a kʰ a m	LOAN	claw-A
286	Tamil	claw	nagam	nagam	n a g a m	LOAN	claw-A
287	Badga	claw	ugilə	ugilə	u g i l ə		claw-B
288	Brahui	claw	hoɾ ad	hoɾ ad	h o ɾ + a d		claw-B
289	Gondi	claw	goɾk	goɾk	g o ɾ k		claw-B
290	Kannada	claw	ugaɾu	ugaɾu	u g a ɾ u		claw-B
291	Kodava	claw	ʋoji	ʋoji	ʋ o j i		claw-B
292	Kolami	claw	go:ɾ	go:ɾ	g oː ɾ		claw-B
293	Koya	claw	go:ɾk	go:ɾk	g oː ɾ k		claw-B
294	Kurukh	claw	oɾokʰ	oɾokʰ	o ɾ o kʰ		claw-B
295	Kuwi	claw	gaɾka	gaɾka	g a ɾ k a		claw-B
296	Malto	claw	oɾugdu	oɾugdu	o ɾ u g d u		claw-B
297	Parji	claw	gēri	gēri	g eː r i		claw-B
298	Telugu	claw	go:ɾu	go:ɾu	g oː ɾ u		claw-B
299	Toda	claw	ju:r	ju:r	j uː r		claw-B
300	Tulu	claw	uguɾu	uguɾu	u g u ɾ u		claw-B
301	Yeruva	claw	ummi	ummi	u mː i		claw-C
302	Betta_Kurumba	claw	ki:jəggəɾə	ki:jəggəɾə	k iː j ə gː ə ɾ ə		claw-D
303	Kota	claw	kaijo:ɾu	kaijo:ɾu	k a i j oː ɾ u		claw-D
304	Brahui	claw	zeel	zeel	z e e l		claw-E
305	Ollari_Gadba	claw	kaʂʋanɖe	kaʂʋanɖe	k a ʂ ʋ a n ɖ e		claw-F
306	Kannada	cloud	mēgha	mēgha	m eː g h a	LOAN	cloud-A
307	Kota	cloud	me:gam	me:gam	m eː g a m	LOAN	cloud-A
308	Malayalam	cloud	mekʰam	mekʰam	m e kʰ a m	LOAN	cloud-A
309	Tamil	cloud	me:gam	me:gam	m eː g a m	LOAN	cloud-A
310	Telugu	cloud	me:gʰamu	me:gʰamu	m eː gʱ a m u	LOAN	cloud-A
311	Toda	cloud	me:gam	me:gam	m eː g a m	LOAN	cloud-A
312	Parji	cloud	malgur	malgur	m a l g u r		cloud-B
313	Gondi	cloud	mabbu	mabbu	m a bː u		cloud-C
314	Koya	cloud	mabbu	mabbu	m a bː u		cloud-C
315	Telugu	cloud	mabbu	mabbu	m a bː u		cloud-C
316	Betta_Kurumba	cloud	mo:ɖə	mo:ɖə	m oː ɖ ə		cloud-D
317	Kannada	cloud	mo:ɖa	mo:ɖa	m oː ɖ a		cloud-D
318	Kodava	cloud	mo:ɖa	mo:ɖa	m oː ɖ a		cloud-D
319	Telugu	cloud	mo:ɖamu	mo:ɖamu	m oː ɖ a m u		cloud-D
320	Tulu	cloud	mo:ɖa	mo:ɖa	m oː ɖ a		cloud-D
321	Yeruva	cloud	mo:ɖa	mo:ɖa	m oː ɖ a		cloud-D
322	Badga	cloud	mandʒu	mandʒu	m a n dʒ u		cloud-E
323	Kurukh	cloud	bada:li	bada:li	b a d aː l i	LOAN	cloud-F
324	Malto	cloud	badli:	badli:	b a d l iː	LOAN	cloud-F
325	Brahui	cloud	dʒammaɾ	dʒammaɾ	dʒ a mː a ɾ		cloud-G
326	Kolami	cloud	a:bar	a:bar	aː b a r		cloud-H
327	Kuwi	cloud	ha:gu	ha:gu	h aː g u		cloud-I
328	Kuwi	cloud	dunɖaɾa	dunɖaɾa	d u n ɖ a ɾ a		cloud-J
329	Kannada	cold	taɳɳige	taɳɳige	t a ɳ ɳ i g e		cold-A
330	Kodava	cold	talindʒadə	talindʒadə	t a l i n dʒ a d ə		cold-A
331	Malayalam	cold	taɳuppə	taɳuppə	t a ɳ u pː ə		cold-A
332	Yeruva	cold	taɳidʒe	taɳidʒe	t a ɳ i dʒ e		cold-A
333	Tamil	cold	kuɭiɾtʃi	kuɭiɾtʃi	k u ɭ i ɾ tʃ i		cold-B
334	Gondi	cold	sallag	sallag	s a lː a g		cold-C
335	Koya	cold	salla:	salla:	s a lː aː		cold-C
336	Telugu	cold	tʃalla	tʃalla	tʃ a lː a		cold-C
337	Tulu	cold	tʃappa	tʃappa	tʃ a pː a		cold-C
338	Kolami	cold	pani	pani	p a n i		cold-D
339	Malto	cold	panija:	panija:	p a n i j aː		cold-D
340	Parji	cold	pañil	pañil	p a ɲ i l		cold-D
341	Kodava	cold	ko:ʈa	ko:ʈa	k oː ʈ a		cold-E
342	Toda	cold	koɾti	koɾti	k o ɾ t i		cold-E
343	Betta_Kurumba	cold	səjlijə	səjlijə	s ə j l i j ə		cold-F
344	Badga	cold	koɾuʋə	koɾuʋə	k o ɾ u ʋ ə		cold-G
345	Kota	cold	koɾʋə	koɾʋə	k o ɾ ʋ ə		cold-G
346	Kurukh	cold	ki:ɾna	ki:ɾna	k iː ɾ n a		cold-H
347	Malto	cold	kiʋa	kiʋa	k i ʋ a		cold-H
348	Brahui	cold	jakʰ	jakʰ	j a kʰ		cold-I
349	Brahui	cold	jax	jax	j a x		cold-I
350	Badga	come	pappa	pappa	p a pː a		come-A
351	Betta_Kurumba	come	ba:ɾ ~ ban ~ bu	ba:ɾ	b aː ɾ		come-A
352	Betta_Kurumba	come	ba:ɾ ~ ban ~ bu	ban	b a n		
353	Betta_Kurumba	come	ba:ɾ ~ ban ~ bu	bu	b u		
354	Brahui	come	banning	banning	b a nː i n g		come-A
355	Gondi	come	ʋa	ʋa	ʋ a		come-A
356	Kannada	come	baru-	baru-	b a r u		come-A
357	Kannada	come	ba:	ba:	b aː		come-A
358	Kodava	come	ba:	ba:	b aː		come-A
359	Kolami	come	ʋa	ʋa	ʋ a		come-A
360	Koya	come	ʋa	ʋa	ʋ a		come-A
361	Koya	come	ʋa:daɖam	ʋa:daɖam	ʋ aː d a ɖ a m		come-A
362	Kurukh	come	baɾna	baɾna	b a ɾ n a		come-A
363	Malayalam	come	ʋaɾuga	ʋaɾuga	ʋ a ɾ u g a		come-A
364	Malto	come	baɾəa:	baɾəa:	b a ɾ ə aː		come-A
365	Ollari_Gadba	come	ʋa	ʋa	ʋ a		come-A
366	Parji	come	ver-	ver-	v e r		come-A
367	Tamil	come	ʋa:	ʋa:	ʋ aː		come-A
368	Telugu	come	ʋatʃtʃu	ʋatʃtʃu	ʋ a tʃː u		come-A
369	Telugu	come	ɾa	ɾa	ɾ a		come-A
370	Toda	come	pa:ɾti	pa:ɾti	p aː ɾ t i		come-A
371	Tulu	come	baɾaɾa	baɾaɾa	b a ɾ a ɾ a		come-A
372	Yeruva	come	ba:	ba:	b aː		come-A
373	Badga	die	sa:ʋadə	sa:ʋadə	s aː ʋ a d ə		die-A
374	Brahui	die	kahing	kahing	k a h i n g		die-A
375	Gondi	die	ha:	ha:	h aː		die-A
376	Kannada	die	sa:ji	sa:ji	s aː j i		die-A
377	Kodava	die	tʃ:ɭa	tʃ:ɭa	tʃː ɭ a		die-A
378	Kurukh	die	kʰena	kʰena	kʰ e n a		die-A
379	Malto	die	keəa:na:keəida:h	keəa:na:keəida:h	k e ə aː n aː k e ə i d aː h		die-A
380	Parji	die	cay-	cay-	c a y		die-A
381	Tamil	die	tʃa:	tʃa:	tʃ aː		die-A
382	Tamil	die	sattə po	sattə po	s a tː ə + p o		die-A
383	Telugu	die	tʃatʃtʃipo:ʋu	tʃatʃtʃipo:ʋu	tʃ a tʃː i p oː ʋ u		die-A
384	Tulu	die	sajjaɾa	sajjaɾa	s a j j a ɾ a		die-A
